"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
curr_inhal_description,currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><p> </p> <p><span style=""text-decoration: underline;"">Inhalants</span></p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 50%;""> <p>Does the participant remember the exact date they last used inhalants?</p> </td> <td style=""width: 50%; height: 50%;"" colspan=""2"">{curr_inhal_last_check}</td> </tr> <tr> <td style=""width: 50%;"">When was the last time you used inhalants?</td> <td style=""width: 25%;""> <p>{used_drugs_last_inhal_currdrugs}</p> <p>{curr_inhal_abs_approx_num}</p> </td> <td style=""width: 25%;""> <p>{curr_inhal_abs_exact}</p> <p>{curr_inhal_abs_approx_units}</p> </td> </tr> <tr> <td style=""width: 50%;"">How many days did you use inhalants in the past 30 days?</td> <td style=""width: 50%;"" colspan=""2"">{inhal_past30days_currdrugs} days</td> </tr> <tr> <td style=""width: 50%;"">How much inhalants did you use last time?</td> <td style=""width: 25%;"">Enter amount here: {inhal_amt_currdrugs}</td> <td style=""width: 25%;""> <p>Pick unit here:</p> <p>{unit_used_inhal_last_currdrugs}<br />{unit_other_used_inhal_last_currdrugs}</p> </td> </tr> <tr> <td style=""width: 50%;"">How much money did you spend on inhalants last time you used?</td> <td colspan=""2""> <p>{money_used_inhal_last_currdrugs} dollars (USD $)</p> </td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[used_whichdrug_currdrugs(5)] = '1'",,,,,,
curr_inhal_last_check,currdrugs_daily_interview,,yesno,"Does the participant remember the exact date they last used inhalants?",,,,,,,"[used_whichdrug_currdrugs(5)] = '1'",,,,,,
used_drugs_last_inhal_currdrugs,currdrugs_daily_interview,,text,"When was the last time you used inhalants?",,date,date_mdy,2000-01-01,2026-12-31,,"[used_whichdrug_currdrugs(5)] = '1' and [curr_inhal_last_check] = '1'",,,,,,
curr_inhal_abs_exact,currdrugs_daily_interview,,calc,"Current abstinence from other inhalants (in days)","datediff ([used_drugs_last_inhal_currdrugs], [survey_date_currdrugs], 'd')",,,,,,"[used_whichdrug_currdrugs(5)] = '1' and [curr_inhal_last_check] = '1'",,,,,,
curr_inhal_last_approx_units,currdrugs_daily_interview,,radio,"When was the last time you use any inhalants (unit)?","1, hours ago | 2, days ago | 3, months ago | 4, years ago",,,,,,"[used_whichdrug_currdrugs(5)] = '1' and [curr_inhal_last_check] = '0'",y,,,,,
curr_inhal_last_approx_num,currdrugs_daily_interview,,text,"When was the last time you use any inhalants (number)?",,"Please enter a number to represent number of units abstinent",number,0,,,"[used_whichdrug_currdrugs(5)] = '1' and [curr_inhal_last_check] = '0'",y,,,,,
curr_inhal_past30days,currdrugs_daily_interview,,text,"How many days did you use inhalants in the past 30 days? ",,,number,0,30,,"[used_whichdrug_currdrugs(5)] = '1'",,,,,,
curr_inhal_last_amt_num,currdrugs_daily_interview,,text,"How much inhalants did you use last time?",,,,,,,"[used_whichdrug_currdrugs(5)] = '1'",,,,,,
curr_inhal_last_amt_unit,currdrugs_daily_interview,,radio,"Please select the type of unit here:","1, grams | 2, ounces | 3, joints | 4, puffs | 5, hits | 6, tokes | 7, bags | 8, lines | 9, pills | 10, syringes | 11, other",,,,,,"[used_whichdrug_currdrugs(5)] = '1'",y,,,,,
curr_inahl_last_amt_unit_other,currdrugs_daily_interview,,text,"please specify:",,,,,,,"[used_whichdrug_currdrugs(5)] = '1' and [unit_used_inhal_last_currdrugs] = '11'",y,,,,,
curr_inhal_last_money,currdrugs_daily_interview,,text,"How much money($) did you spend on inhalants last time you used?",,,,,,,"[used_whichdrug_currdrugs(5)] = '1'",y,,,,,
curr_inhal_description_2,currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><p> </p> <p><span style=""text-decoration: underline;"">Tranquilizers</span></p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 50%;""> <p>Does the participant remember the exact date they last used tranquilizers?</p> </td> <td style=""width: 50%; height: 50%;"" colspan=""2"">{curr_tranq_last_check}</td> </tr> <tr> <td style=""width: 50%;"">When was the last time you used tranquilizers?</td> <td style=""width: 25%;""> <p>{used_drugs_last_tranq_currdrugs}</p> <p>{curr_tranq_abs_approx_num}</p> </td> <td style=""width: 25%;""> <p>{curr_tranq_abs_exact}</p> <p>{curr_tranq_abs_approx_units}</p> </td> </tr> <tr> <td style=""width: 50%;"">How many days did you use tranquilizers in the past 30 days?</td> <td style=""width: 50%;"" colspan=""2"">{tranq_past30days_currdrugs} days</td> </tr> <tr> <td style=""width: 50%;"">How much tranquilizers did you use last time?</td> <td style=""width: 25%;"">Enter amount here: {tranq_amt_currdrugs}</td> <td style=""width: 25%;""> <p>Pick unit here:</p> <p>{unit_used_tranq_last_currdrugs}<br />{unit_other_used_tranq_last_currdrugs}</p> </td> </tr> <tr> <td style=""width: 50%;"">How much money did you spend on tranquilizers last time you used?</td> <td colspan=""2""> <p>{money_used_tranq_last_currdrugs} dollars (USD $)</p> </td> </tr> </tbody> </table> <p> </p></div>",,,,,,,"[used_whichdrug_currdrugs(6)] = '1'",,,,,,
curr_tranq_last_check,currdrugs_daily_interview,,yesno,"Does the participant remember the exact date they last used tranquilizers?",,,,,,,"[used_whichdrug_currdrugs(6)] = '1'",,,,,,
curr_tranq_last_date,currdrugs_daily_interview,,text,"When was the last time you used tranquilizers?",,date,date_mdy,2000-01-01,2026-12-31,,"[used_whichdrug_currdrugs(6)] = '1' and [curr_tranq_last_check] = '1'",,,,,,
curr_tranq_abs_exact,currdrugs_daily_interview,,calc,"Current abstinence from other tranquilizers (in days)","datediff ([curr_tranq_last_date], [curr_survey_date], 'd')",,,,,,"[used_whichdrug_currdrugs(6)] = '1' and [curr_tranq_last_check] = '1'",,,,,,
curr_tranq_last_approx_unit,currdrugs_daily_interview,,radio,"When was the last time you use any tranquilizers (unit)?","1, hours ago | 2, days ago | 3, months ago | 4, years ago",,,,,,"[used_whichdrug_currdrugs(6)] = '1' and [curr_tranq_last_check] = '0'",y,,,,,
curr_tranq_last_approx_num,currdrugs_daily_interview,,text,"When was the last time you use any tranquilizers (number)?",,"Please enter a number to represent number of units abstinent",number,0,,,"[used_whichdrug_currdrugs(6)] = '1' and [curr_tranq_last_check] = '0'",y,,,,,
curr_tranq_past30days,currdrugs_daily_interview,,text,"How many days did you use tranquilizers in the past 30 days? ",,,number,0,30,,"[used_whichdrug_currdrugs(6)] = '1'",,,,,,
curr_tranq_last_amt,currdrugs_daily_interview,,text,"How much tranquilizers did you use last time?",,,,,,,"[used_whichdrug_currdrugs(6)] = '1'",,,,,,
curr_unit_used_tranq_last,currdrugs_daily_interview,,radio,"Please select the type of unit here:","1, grams | 2, ounces | 3, joints | 4, puffs | 5, hits | 6, tokes | 7, bags | 8, lines | 9, pills | 10, syringes | 11, other",,,,,,"[used_whichdrug_currdrugs(6)] = '1'",y,,,,,
curr_unit_other_used_tranq_last,currdrugs_daily_interview,,text,"please specify:",,,,,,,"[used_whichdrug_currdrugs(6)] = '1' and [unit_used_tranq_last_currdrugs] = '11'",y,,,,,
curr_money_used_tranq_last,currdrugs_daily_interview,,text,"How much money($) did you spend on tranquilizers last time you used?",,,,,,,"[used_whichdrug_currdrugs(6)] = '1'",y,,,,,
curr_cig,currdrugs_daily_interview,,radio,"Do you or have you ever smoked cigarettes?","1, Never | 2, Past | 3, Current",,,,,,,,,,,,
curr_cig_description,currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><p> </p> <p><span style=""text-decoration: underline;"">Nicotine</span></p> <table style=""border-collapse: collapse; width: 100%; height: 66px;"" border=""1""> <tbody> <tr style=""height: 22px;""> <td style=""width: 33.3333%; height: 22px;"">Does the participant remember the exact date they last had a cigarette?</td> <td style=""width: 66.6666%; height: 22px;"" colspan=""2"">{curr_nic_last_check}</td> </tr> <tr style=""height: 22px;""> <td style=""width: 33.3333%; height: 22px;"">When was the last time you smoked a cigarette?</td> <td style=""width: 33.3333%; height: 22px;""> <p>{curr_cig_last}</p> <p>{curr_nic_abs_approx_num}</p> </td> <td style=""width: 33.3333%; height: 22px;""> <p>{curr_cig_abs_exact}</p> <p>{curr_nic_abs_approx_units}</p> </td> </tr> <tr> <td style=""width: 33.3333%;"">How many cigarettes did you smoke?</td> <td style=""height: 22px; width: 66.6666%;"" colspan=""2"">{curr_cig_num} cigs/per day </td> </tr> <tr> <td style=""width: 33.3333%;"">How many days did you smoke cigarettes in the past 30 days?</td> <td style=""width: 66.6666%;"" colspan=""2"">{curr_cig_past30days} days</td> </tr> </tbody> </table></div>",,,,,,,"[curr_cig] = '3' or [curr_cig] = '2'",,,,,,
curr_nic_last_check,currdrugs_daily_interview,,yesno,"Does the participant remember the exact date they smoked a cigarette?",,,,,,,"[curr_cig] = '2' or [curr_cig] = '3'",,,,,,
curr_nic_abs_approx_units,currdrugs_daily_interview,,radio,"When was the last time you smoked a cigarette (unit)?","1, hours ago | 2, days ago | 3, months ago | 4, years ago",,,,,,"[curr_nic_last_check] = '0'",y,,,,,
curr_nic_abs_approx_num,currdrugs_daily_interview,,text,"When was the last time you smoked a cigarette (number)?",,"Please enter a number to represent number of units abstinent",number,0,,,"[curr_nic_last_check] = '0'",y,,,,,
curr_cig_last,currdrugs_daily_interview,,text,"When was the last time you smoked a cigarette?",,,date_mdy,2000-01-01,2026-12-31,,"[curr_nic_last_check] = '1'",,,,,,
curr_cig_abs_exact,currdrugs_daily_interview,,calc,"Current abstinence from cigarettes(in days)","datediff ([curr_cig_last], [survey_date_currdrugs], 'd')",,,,,,"[curr_nic_last_check] = '1'",,,,,,
curr_cig_num,currdrugs_daily_interview,,text,"How many cigarettes did you smoke? (cigs/per day)",,,number,,,,"[curr_cig] = '2' or [curr_cig] = '3'",,,,,,
curr_cig_past30days,currdrugs_daily_interview,,text,"How many days did you smoke cigarettes in the past 30 days?",,,number,0,30,,"[curr_cig] = '2' or [curr_cig] = '3'",,,,,,
curr_cig_past30days_check,currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><p><span style=""color: #e03e2d;"">!!!</span></p> <p><span style=""text-decoration: underline;""><span style=""color: #e03e2d; text-decoration: underline;"">PLEASE DOUBLE-CHECK THE NUMBER!</span></span></p> <p><span style=""color: #e03e2d;"">!!!</span></p></div>",,,,,,,"[curr_cig] = '2' and [curr_cig_past30days] > 0",,,,,,
nicotine_product,currdrugs_daily_interview,,yesno,"Do you use nicotine products other than cigarettes (e.g. patch, gum)? ",,,,,,,,,,,,,
curr_nic_prdct,currdrugs_daily_interview,,checkbox,"Which nicotine products do you currently use?","1, Pipe | 2, Cigar | 3, Blunt | 4, Patch | 5, Gum | 6, Other",,,,,,"[nicotine_product] = '1'",,,,,,
curr_nic_other_sdetails,currdrugs_daily_interview,,text,"Please specify:",,,,,,,"[curr_nic_prdct(6)] = '1'",,,,,,
curr_nic_pipe_last,currdrugs_daily_interview,,text,"When was the last time you used pipes?",,,date_mdy,,,,"[curr_nic_prdct(1)] = '1'",,,,,,
curr_nic_pipe_abs_exac,currdrugs_daily_interview,,calc,"Current abstinence from pipes(in days)","datediff ([curr_nic_pipe_last], [survey_date_currdrugs], 'd')",,,,,,"[curr_nic_prdct(1)] = '1'",,,,,,
curr_nic_pipe_amt,currdrugs_daily_interview,,text,"How much/many pipes did you use?",,,number,,,,"[curr_nic_prdct(1)] = '1'",,,,,,
curr_nic_pipe_past30days,currdrugs_daily_interview,,text,"How many days did you use pipes in the past 30 days?",,,number,0,30,,"[curr_nic_prdct(1)] = '1'",,,,,,
curr_nic_cigar_last,currdrugs_daily_interview,,text,"When was the last time you used cigars?",,,date_mdy,,,,"[curr_nic_prdct(2)] = '1'",,,,,,
curr_nic_cigar_abs_exac,currdrugs_daily_interview,,calc,"Current abstinence from cigar(in days)","datediff ([curr_nic_cigar_last], [survey_date_currdrugs], 'd')",,,,,,"[curr_nic_prdct(2)] = '1'",,,,,,
curr_nic_cigar_amt,currdrugs_daily_interview,,text,"How much/many cigars did you use?",,,number,,,,"[curr_nic_prdct(2)] = '1'",,,,,,
curr_nic_cigar_past30days,currdrugs_daily_interview,,text,"How many days did you use cigars in the past 30 days?",,,number,0,30,,"[curr_nic_prdct(2)] = '1'",,,,,,
curr_nic_blunt_last,currdrugs_daily_interview,,text,"When was the last time you used blunts?",,,date_mdy,,,,"[curr_nic_prdct(3)] = '1'",,,,,,
curr_nic_blunt_abs_exac,currdrugs_daily_interview,,calc,"Current abstinence from blunts(in days)","datediff ([curr_nic_blunt_last], [survey_date_currdrugs], 'd')",,,,,,"[curr_nic_prdct(3)] = '1'",,,,,,
curr_nic_blunt_amt,currdrugs_daily_interview,,text,"How much/many blunts did you use?",,,number,,,,"[curr_nic_prdct(3)] = '1'",,,,,,
curr_nic_blunt_past30days,currdrugs_daily_interview,,text,"How many days did you use blunt in the past 30 days?",,,number,0,30,,"[curr_nic_prdct(3)] = '1'",,,,,,
curr_nic_patch_last,currdrugs_daily_interview,,text,"When was the last time you used the patch?",,,date_mdy,,,,"[curr_nic_prdct(4)] = '1'",,,,,,
curr_nic_patch_abs_exac,currdrugs_daily_interview,,calc,"Current abstinence from patch(in days)","datediff ([curr_nic_patch_last], [survey_date_currdrugs], 'd')",,,,,,"[curr_nic_prdct(4)] = '1'",,,,,,
curr_nic_patch_amt,currdrugs_daily_interview,,text,"How much/many patches did you use?",,,number,,,,"[curr_nic_prdct(4)] = '1'",,,,,,
curr_nic_gum_last,currdrugs_daily_interview,,text,"When was the last time you used nicotine gum?",,,date_mdy,,,,"[curr_nic_prdct(5)] = '1'",,,,,,
curr_nic_patch_past30days,currdrugs_daily_interview,,text,"How many days did you use patch in the past 30 days?",,,number,0,30,,"[curr_nic_prdct(4)] = '1'",,,,,,
curr_nic_gum_abs_exac,currdrugs_daily_interview,,calc,"Current abstinence from nicotine gum(in days)","datediff ([curr_nic_gum_last], [survey_date_currdrugs], 'd')",,,,,,"[curr_nic_prdct(5)] = '1'",,,,,,
curr_nic_gum_amt,currdrugs_daily_interview,,text,"How much/many nicotine gum did you use?",,,number,,,,"[curr_nic_prdct(5)] = '1'",,,,,,
curr_nic_gum_past30days,currdrugs_daily_interview,,text,"How many days did you use this nicotine gum in the past 30 days?",,,number,0,30,,"[curr_nic_prdct(5)] = '1'",,,,,,
curr_nic_other_last,currdrugs_daily_interview,,text,"When was the last time you used this product?",,,date_mdy,,,,"[curr_nic_prdct(6)] = '1'",,,,,,
curr_nic_other_abs_exac,currdrugs_daily_interview,,calc,"Current abstinence from this nicotine products(in days)","datediff ([curr_nic_other_last], [survey_date_currdrugs], 'd')",,,,,,"[curr_nic_prdct(6)] = '1'",,,,,,
curr_nic_other_amt,currdrugs_daily_interview,,text,"How much/many of this product did you use?",,,number,,,,"[curr_nic_prdct(6)] = '1'",,,,,,
curr_nic_other_past30days,currdrugs_daily_interview,,text,"How many days did you use this nicotine product in the past 30 days?",,,number,0,30,,"[curr_nic_prdct(6)] = '1'",,,,,,
curr_caffeine,currdrugs_daily_interview,,yesno,"Do you use or have you ever used caffeine products (e.g., coffee, tea, soda, pills, energy drink)?",,,,,,,,,,,,,
curr_caffeine_prdct,currdrugs_daily_interview,,checkbox,"Which caffeine product did you use? (check all that apply)
","1, coffee | 2, tea | 3, soda | 4, pills | 5, energy drink | 6, other",,,,,,"[curr_caffeine] = '1'",,,,,,
curr_caffeine_prdct_other,currdrugs_daily_interview,,text,"Please specify:",,,,,,,"[curr_caffeine_prdct(6)] = '1'",,,,,,
curr_caffeine_coffee_last,currdrugs_daily_interview,,text,"When was the last time you used coffee?",,,date_mdy,,,,"[curr_caffeine_prdct(1)] = '1'",,,,,,
curr_caffeine_coffee,currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 33.3333%;"">How much coffee did you last use?</td> <td style=""width: 33.3333%;"">{curr_caffeine_coffee_amt}</td> <td style=""width: 33.3333%;"">{curr_caffeine_coffee_unit}</td> </tr> </tbody> </table></div>",,,,,,,"[curr_caffeine_prdct(1)] = '1'",,,,,,
curr_caffeine_coffee_amt,currdrugs_daily_interview,,text,"How much coffee did you last use?",,,,,,,"[curr_caffeine_prdct(1)] = '1'",,,,,,
curr_caffeine_coffee_unit,currdrugs_daily_interview,,radio,"coffee unit","1, cups | 2, ounces | 3, shots",,,,,,"[curr_caffeine_prdct(1)] = '1'",,,,,,
curr_caffeine_tea_last,currdrugs_daily_interview,,text,"When was the last time you drank tea?",,,date_ymd,,,,"[curr_caffeine_prdct(2)] = '1'",,,,,,
curr_caffeine_tea,currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 33.3333%;"">How much tea did you last use?</td> <td style=""width: 33.3333%;"">{curr_caffeine_tea_amt}</td> <td style=""width: 33.3333%;"">{curr_caffeine_tea_unit}</td> </tr> </tbody> </table></div>",,,,,,,"[curr_caffeine_prdct(2)] = '1'",,,,,,
curr_caffeine_tea_amt,currdrugs_daily_interview,,text,"How much tea did you last use?",,,,,,,"[curr_caffeine_prdct(2)] = '1'",,,,,,
curr_caffeine_tea_unit,currdrugs_daily_interview,,radio,"tea unit","1, cups | 2, ounces",,,,,,"[curr_caffeine_prdct(2)] = '1'",,,,,,
curr_caffeine_soda_last,currdrugs_daily_interview,,text,"When was the last time you used soda?",,,date_mdy,,,,"[curr_caffeine_prdct(3)] = '1'",,,,,,
curr_caffeine_soda,currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 33.3333%;"">How much soda did you last use?</td> <td style=""width: 33.3333%;"">{curr_caffeine_soda_amt}</td> <td style=""width: 33.3333%;"">{curr_caffeine_soda_unit}</td> </tr> </tbody> </table></div>",,,,,,,"[curr_caffeine_prdct(3)] = '1'",,,,,,
curr_caffeine_soda_amt,currdrugs_daily_interview,,text,"How much soda did you last use? ",,,,,,,"[curr_caffeine_prdct(3)] = '1'",,,,,,
curr_caffeine_soda_unit,currdrugs_daily_interview,,radio,"soda unit","1, cups | 2, ounces | 3, cans",,,,,,"[curr_caffeine_prdct(3)] = '1'",,,,,,
curr_caffeine_pills_last,currdrugs_daily_interview,,text,"When was the last time you used pills?",,,date_mdy,,,,"[curr_caffeine_prdct(4)] = '1'",,,,,,
curr_caffeine_pills_amt,currdrugs_daily_interview,,text,"How much pills did you last use? ",,,,,,,"[curr_caffeine_prdct(4)] = '1'",,,,,,
curr_caffeine_energy_drinks_last,currdrugs_daily_interview,,text,"When was the last time you used energy drinks?",,,date_mdy,,,,"[curr_caffeine_prdct(5)] = '1'",,,,,,
curr_caffeine_energy_drinks,currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 33.3333%;"">How much energy drinks did you last use?</td> <td style=""width: 33.3333%;"">{curr_caffeine_energy_drinks_amt}</td> <td style=""width: 33.3333%;"">{curr_caffeine_energy_drinks_unit}</td> </tr> </tbody> </table></div>",,,,,,,"[curr_caffeine_prdct(5)] = '1'",,,,,,
curr_caffeine_energy_drinks_amt,currdrugs_daily_interview,,text,"How much energy drinks did you last use? ",,,,,,,"[curr_caffeine_prdct(5)] = '1'",,,,,,
curr_caffeine_energy_drinks_unit,currdrugs_daily_interview,,radio,"energy drink unit","1, cups | 2, ounces | 3, cans",,,,,,"[curr_caffeine_prdct(5)] = '1'",,,,,,
curr_caffiene_other_last,currdrugs_daily_interview,,text,"When was the last time you used this product?",,,date_mdy,,,,"[curr_caffeine_prdct(6)] = '1'",,,,,,
curr_caffeine_other,currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 33.3333%;"">How much this product did you last use?</td> <td style=""width: 33.3333%;"">{curr_caffeine_other_amt}</td> <td style=""width: 33.3333%;"">{curr_caffeine_other_unit}</td> </tr> </tbody> </table></div>",,,,,,,"[curr_caffeine_prdct(6)] = '1'",,,,,,
curr_caffeine_other_amt,currdrugs_daily_interview,,text,"How much of this product did you last use? (cups, ounces, pills, shots)",,,,,,,"[curr_caffeine_prdct(6)] = '1'",,,,,,
curr_caffeine_other_unit,currdrugs_daily_interview,,radio,"this product unit","1, cups | 2, ounces | 3, cans | 4, shots | 5, pills | 6, other",,,,,,"[curr_caffeine_prdct(6)] = '1'",,,,,,
curr_caffeine_other_unit_other,currdrugs_daily_interview,,text,"Please specify",,,,,,,"[curr_caffeine_other_unit] = '6'",,,,,,
curr_mat_tx_check,currdrugs_daily_interview,,yesno,"Are you currently enrolled in any medication-assisted treatment program? ",,,,,,,,,,,,,
curr_mat_tx_start,currdrugs_daily_interview,,text,"When was the current treatment program started? ",,,date_mdy,,,,"[curr_mat_tx_check] = '1'",,,,,,
curr_mat_tx_length,currdrugs_daily_interview,,calc,"Current length in the medication-assisted treatment program.","datediff ([curr_mat_tx_start], [survey_date_currdrugs], 'd')",,,,,,"[curr_mat_tx_check] = '1'",,,,,,
curr_mat_tx_type,currdrugs_daily_interview,,checkbox,"What type of medication-assisted treatment you are currently enrolled in?","1, Methadone | 2, Buprenorphine | 3, Naltrexone | 4, Other",,,,,,"[curr_mat_tx_check] = '1'",,,,,,
curr_mat_tx_type_other,currdrugs_daily_interview,,text,"Please specify",,,,,,,"[curr_mat_tx_type(4)] = '1'",,,,,,
curr_mat_tx_daily_dose,currdrugs_daily_interview,,text,"What is the daily dose of the medication? ",,mg,,,,,"[curr_mat_tx_check] = '1'",,,,,,
sleep_bed_time_combined,currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 33.3333%;"">What time did you go to bed last night?</td> <td style=""width: 33.3333%;"">{sleep_bed_time}</td> <td style=""width: 33.3333%;"">{sleep_bed_time_ampm}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
sleep_bed_time,currdrugs_daily_interview,,text,"What time did you go to bed last night?",,,,,,,,,,,,,
sleep_bed_time_ampm,currdrugs_daily_interview,,radio,"AM vs PM","1, AM | 2, PM",,,,,,,,,,,,
sleep_fall_asleep,currdrugs_daily_interview,,text,"How long (in minutes) had it take you to fall asleep last night?",,,number,,1440,,,,,,,,
sleep_wake_up_time_combined,currdrugs_daily_interview,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 33.3333%;"">What time did you wake up today?</td> <td style=""width: 33.3333%;"">{sleep_wake_up_time}</td> <td style=""width: 33.3333%;"">{sleep_wake_up_time_ampm}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
sleep_wake_up_time,currdrugs_daily_interview,,text,"What time did you wake up today?",,,,,,,,,,,,,
sleep_wake_up_time_ampm,currdrugs_daily_interview,,radio,"AM vs PM","1, AM | 2, PM",,,,,,,,,,,,
sleep_last,currdrugs_daily_interview,,text," How many hours of actual sleep did you get last night (This may be different than the number of hours you spent in bed)? ",,hh.mm,number,0,24.59,,,,,,,,
sleep_quality,currdrugs_daily_interview,,radio,"How would you rate your last night's sleep quality?","1, 0 - very badly | 2, 1 - fairly bad | 3, 2 - fairly good | 4, 3 - very good",,,,,,,,,,,,
